SMILES,name,canvasUID,Source File,Source File Index,Molecular weight
Cc1cc(ccc1)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830965,44,Ambinter.sdf,44,337.3351
c1cccc(c1C)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830967,45,Ambinter.sdf,45,337.3351
c1cccc(Cl)c1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830969,46,Ambinter.sdf,46,357.75304
Cc1c(C)ccc(c1)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830971,47,Ambinter.sdf,47,351.36219
Cc1cc(C)cc(c1)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830973,48,Ambinter.sdf,48,351.36219
Cc(c1)ccc(c1C)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830974,49,Ambinter.sdf,49,351.36219
Cc1c(Cl)ccc(c1)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830975,50,Ambinter.sdf,50,371.78013
[O-]C(=O)c1cc(on1)-c2cc(F)c(cc2)OC,ZINC09340116,51,Ambinter.sdf,51,236.18114
Cc1cc(c(cc1)OC)NC(=O)COC(=O)c2cc(on2)-c3ccccc3,ZINC09602272,52,Ambinter.sdf,52,366.37686
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N(CC3)CCC34OCCO4,ZINC09637791,57,Ambinter.sdf,57,452.48688
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N([C@@H](C)C3)c(c34)cccc4,ZINC09637855,58,Ambinter.sdf,58,442.49444
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N([C@H](C)C3)c(c34)cccc4,ZINC09637859,59,Ambinter.sdf,59,442.49444
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCCCC3,ZINC09637922,60,Ambinter.sdf,60,394.44984
[O-]C(=O)c1cc(on1)-c(c2)ccc(C)c2C,ZINC11757618,61,Ambinter.sdf,61,216.2184
[O-]C(=O)c1cc(on1)-c(c2C)cc(C)cc2,ZINC11801724,62,Ambinter.sdf,62,216.2184
[O-]C(=O)c1cc(on1)-c(c2)ccc(c23)CCCC3,ZINC11801760,63,Ambinter.sdf,63,242.25664
[O-]C(=O)c1cc(on1)-c2ccc(Br)cc2,ZINC11801830,64,Ambinter.sdf,64,267.06525
[O-]C(=O)c1cc(on1)-c2c(OC)ccc(c2)OC,ZINC11801970,65,Ambinter.sdf,65,248.2172
COc(cc1)ccc1OC(=O)c2cc(on2)-c3ccc(Cl)cc3,ZINC11914861,66,Ambinter.sdf,66,329.74249
c1cccc(F)c1OC(=O)c2cc(on2)-c3ccc(Cl)cc3,ZINC11914863,67,Ambinter.sdf,67,317.70643
c1cc(F)ccc1OC(=O)c2cc(on2)-c3ccc(Cl)cc3,ZINC11914864,68,Ambinter.sdf,68,317.70643
