"","name.cmpd","paper.name","synth.name","IC50","IC50.low","IC50.up","SMILES"
"144","mPP-0056","SI-24","Amb519",NA,NA,NA,"COC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1S(=O)(N3CCOCC3)=O"
"145","mPP-0057","SI-28","Amb529",NA,NA,NA,"COC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1S(=O)(N3CCCC3)=O"
"148","mPP-0041","SI-23","Amb861",NA,NA,NA,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3CCOCC3)=O)=C2)=C1)=O"
"149","mPP-0058","SI-20","Amb924",NA,NA,NA,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4CCC3)=O)=C2)=C1)=O"
"150","mPP-0059","SI-27","Amb930",NA,NA,NA,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3CCCC3)=O)=C2)=C1)=O"
"151","mPP-0061","SI-25","Amb937",NA,NA,NA,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4CC3)=O)=C2)=C1)=O"
"152","mPP-0062","SI-26","Amb950",NA,NA,NA,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3CCCC3)=O)=C2)=C1)=O"
"153","mPP-0063","SI-18","Amb962",NA,NA,NA,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=NC=CC=C3C)=O)=C2)=C1)=O"
"154","mPP-0064","SI-22","Amb890",NA,NA,NA,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4OCC3)=O)=C2)=C1)=O"
"159","mPP-0072","SI-30","Amb369",NA,NA,NA,"COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(NC3=CC=CC(Cl)=C3)=O"
"160","mPP-0075","SI-21","Amb074",NA,NA,NA,"COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(N(C3)C4=CC=CC=C4NC3=O)=O"
