"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"814" "mPP-0331" NA "LD-8" 671.794707949913 372.807435452415 1256.73112955305 NA
"1513" "mPP-0336" NA "LD-13" 717.611027178043 499.252281330521 1039.90489601182 NA
"232" "mPP-0320" NA "IA-5" 773.442586957535 225.417840187188 6564.84377653647 NA
"317" "mPP-0314" NA "UR-29" 2371.18745569805 751.611501326124 12419.8971751198 NA
"1108" "mPP-0313" NA "UR-28" NA NA NA NA
"417" "mPP-0325" NA "LD-2" NA NA NA NA
"515" "mPP-0315" NA "UR-30" NA NA NA NA
"615" "mPP-0326" NA "LD-3" NA NA NA NA
"715" "mPP-0328" NA "LD-5" NA NA NA NA
"914" "mPP-0329" NA "LD-6" NA NA NA NA
"1113" "mPP-0330" NA "LD-7" NA NA NA NA
"1213" "mPP-0333" NA "LD-10" NA NA NA NA
"1313" "mPP-0335" NA "LD-12" NA NA NA NA
"1413" "mPP-0338" NA "LD-15" NA NA NA NA
"1613" "mPP-0316" NA "IA-1" NA NA NA NA
"1713" "mPP-0337" NA "LD-14" NA NA NA NA
"1813" "mPP-0317" NA "IA-2" NA NA NA NA
"1913" "mPP-0318" NA "IA-3" NA NA NA NA
"2111" "mPP-0319" NA "IA-4" NA NA NA NA
"225" "mPP-0322" NA "IA-7" NA NA NA NA
"716" "mPP-0293" NA "UR-8" 1.87965654308234 0.510021853333022 5.12564387310312 NA
"1414" "mPP-0297" NA "UR-12" 54.4453760471736 49.7937425225024 59.3626713071805 NA
"815" "mPP-0294" NA "UR-9" 72.8500571340557 70.9992453134136 74.6583994762276 NA
"516" "mPP-0290" NA "UR-5" 230.141573939356 134.056137111842 418.354861840634 NA
"915" "mPP-0292" NA "UR-7" 2213.15159518675 837.461906046194 9764.3445892045 NA
"1109" "mPP-0286" NA "UR-1" NA NA NA NA
"226" "mPP-0288" NA "UR-3" NA NA NA NA
"318" "mPP-0289" NA "UR-4" NA NA NA NA
"418" "mPP-0287" NA "UR-2" NA NA NA NA
"616" "mPP-0291" NA "UR-6" NA NA NA NA
