"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0044" NA "Amb884" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(F)C(Cl)=C3)=O)=C2)=C1)=O"
"mPP-0058" NA "Amb924" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4CCC3)=O)=C2)=C1)=O"
"mPP-0059" NA "Amb930" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3CCCC3)=O)=C2)=C1)=O"
"mPP-0061" NA "Amb937" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4CC3)=O)=C2)=C1)=O"
"mPP-0062" NA "Amb950" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3CCCC3)=O)=C2)=C1)=O"
"mPP-0063" NA "Amb962" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=NC=CC=C3C)=O)=C2)=C1)=O"
"mPP-0064" NA "Amb890" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4OCC3)=O)=C2)=C1)=O"
"mPP-0066" NA "Amb579" NA NA NA "BrC1=CC=CC(OC(C2=NOC(C3=CC=C(C)C(C)=C3)=C2)=O)=C1"
"mPP-0067" NA "Amb583" NA NA NA "BrC1=CC=C(OC(C2=NOC(C3=CC=C(C)C(C)=C3)=C2)=O)C=C1"
"mPP-0069" NA "Amb506" NA NA NA "O=C(OC1=CC=CC=C1Br)C2=NOC(C3=CC=C4OCCOC4=C3)=C2"
"mPP-0070" NA "Amb259" NA NA NA "BrC1=CC=C(OC(C2=NOC(C3=CC=C4OCCOC4=C3)=C2)=O)C=C1"
"mPP-0071" NA "Amb538" NA NA NA "BrC1=CC=CC(OC(C2=NOC(C3=CC=C4OCCOC4=C3)=C2)=O)=C1"
"mPP-0072" NA "Amb369" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(NC3=CC=CC(Cl)=C3)=O"
"mPP-0073" NA "Amb370" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(NC3=CC=C(C=C3)Cl)=O"
"mPP-0074" NA "Amb377" NA NA NA "CC1=CC(NS(=O)(C2=CC(C3=CC(C(OCC)=O)=NO3)=CC=C2OC)=O)=NO1"
