"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0098" "IAT-40" NA NA NA "O=c1c2c3c(c(C=O)c2NCC)CC(C(C)C)Ccc3cc1C(F)(F)F"
"IAT-93-II" "IAT-93-II" NA NA NA NA
"mPP-0117" "IAT-120" NA NA NA "CC(OCC(cc12)C3c1c(Ccc(C(C)C)C3)CC(C(F)(F)F)C2=O)=O"
"mPP-0022" "C22" NA NA NA "CCOC(c1ccc(S(=O)(NC(SC2)=NC2=O)=O)cc1)=O"
"mPP-0013" "C13" NA NA NA "O=C(O)c1cC(S(=O)(NC2=O)=O)C2cc1"
"mPP-0015" "C15" NA NA NA "O=C1CS(=O)(c2cccCC21)=O"
"mPP-0016" "C16" NA NA NA "O=C(CNS(=O)(C1ccc(N)cC1)=O)O"
"mPP-0017" "C17" NA NA NA "O=C(CN(S(=O)(c1cccCC12)=O)C2=O)O"
"mPP-0018" "C18" NA NA NA "O=C(C(NS(=O)(c1ccc(NC(C)=O)cc1)=O)CO)O"
"mPP-0019" "C19" NA NA NA "O=C(CN1nnnC1N)O"
"mPP-0020" "C20" NA NA NA "N#Cc1ccc(NS(=O)(C)=O)cc1"
"mPP-0006" "C6" NA NA NA "OB(c1cc(N)ccc1CO)O"
"mPP-0007" "C7" NA NA NA "O=C(c1noc(c2ccccc2[N+]([O-])=O)c1)O"
"mPP-0008" "C8" NA NA NA "O=S(NC1=NCCS1)(C2ccc(N)cC2)=O"
"mPP-0009" "C9" NA NA NA "OB1OCC2c1cc(C(O)=O)cC2"
"mPP-0010" "C10" NA NA NA "O=C(CS(=O)(c1ccccc1[N+]([O-])=O)=O)O"
"mPP-0011" "C11" NA NA NA "CC1(C(N(c2ccc(cc2)S(=O)(Cl)=O)S(=O)(C1)=O)=O)C"
"mPP-0012" "C12" NA NA NA "O=C(C1CCCN1S(=O)(C2ccc(N)cc2)=O)O"
"mPP-0030" "MTI-71" NA NA NA "O=C(O)C1=NOC(C2=CC=CC(C(O)=O)=C2)=C1"
"mPP-0030" "DAP-06" NA NA NA "O=C(O)C1=NOC(C2=CC=CC(C(O)=O)=C2)=C1"
"mPP-0032" "MTI-75" NA NA NA "OC(C=C1)=CC=C1C2=CC(C(O)=O)=NO2"
"mPP-0033" "MTI-77" NA NA NA "OC1=CC(C2=CC(C(O)=O)=NO2)=CC=C1"
"mPP-0252" "MTI-39" NA NA NA "CCOC(C1=NOC(B2OC(CN(C)CC(O2)=O)=O)=C1)=O"
"mPP-0024" "MTI-43" NA NA NA "O=C(O)C1=NOC(C2=C(OC)C=CC=C2)=C1"
"mPP-0024" "DAP-21" NA NA NA "O=C(O)C1=NOC(C2=C(OC)C=CC=C2)=C1"
"NJ-35" "NJ-35" NA NA NA NA
"NJ-35" "NJ-35" NA NA NA NA
"NJ-35" "NJ-35" NA NA NA NA
"mPP-0027" "MTI-59" NA NA NA "CC1=C(C=NN1C)C2=CC(C(O)=O)=NO2"
"mPP-0129" "AKI XVIII195" NA NA NA "CC(C)C1=CC2=C(C)C(NCCC3=CNC=N3)=C4C2=C(C=C(C4=O)C(F)(F)F)C=C1"
"mPP-0130" "AKI-A17" NA NA NA "CC1=C2C(C3=C1NCCCO)=C(C=C(C(F)(F)F)C3=O)C=CC(C(C)C)=C2"
"mPP-0131" "AKI-A41" NA NA NA "CC(C)C1=CC2=C(/C=N/CCC(OCC)=O)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0132" "AKI-A55" NA NA NA "CC(C)C1=CC2=C(C=O)C(NCCO)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0133" "RA-B87+89" NA NA NA "CC(C)C1=CC2=C(C)C(NCCC3=CNC4=C3C=CC=C4)=C5C2=C(C=C(C(F)(F)F)C5=O)C=C1"
"mPP-0135" "RA-B51+57" NA NA NA "CC(C)C1=CC2=C(C)C(NCCCN3CCOCC3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"AKI XVIII129" "AKI XVIII129" NA NA NA NA
"AKI XVIII181" "AKI XVIII181" NA NA NA NA
"mPP-0138" "RA-B23+91" NA NA NA "O=C1C=CC2=C(C(C=C3C)=C(C(F)(F)F)C(OCC4=NC(C=CC=C5)=C5N4)=C2)C3=C1"
"mPP-0159" "DAP-10a" NA NA NA "COC1=CC=C(C2=CC(C(OC)=O)=NO2)C=C1"
"mPP-0160" "DAP-10b" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1"
"mPP-0161" "DAP-13" NA NA NA "OC(C1=NOC(C2=CC=C(OC)C=C2)=C1)=O"
"mPP-0162" "DAP-16" NA NA NA "O=C(OCC)C1=NOC(C2=CC=CC(OC)=C2)=C1"
"mPP-0163" "DAP-02" NA NA NA "O=C(OCC)C1=NOC(C2=CC(C(OC)=O)=CC=C2)=C1"
"mPP-0164" "DAP-14" NA NA NA "O=C(OCC)C1=NOC(C2=CC=CC=C2C(OC)=O)=C1"
"NJ1-4" "NJ1-4" NA NA NA NA
"mPP-0147" "NJ1-31" NA NA NA "OC(C1=NOC(C2=CC=C(C#N)C=C2)=C1)=O"
"mPP-0148" "NJ1-19" NA NA NA "O=C(OCC)C1=NOC(C2=CC=CC=C2)=C1"
"mPP-0149" "NJ1-20" NA NA NA "OC(C1=NOC(C2=CC=CC=C2)=C1)=O"
"mPP-0150" "NJ1-21" NA NA NA "O=C(OCC)C1=NNC(C2=CC=CC=C2)=C1"
"mPP-0151" "NJ1-32" NA NA NA "OC(C1=NNC(C2=CC=CC=C2)=C1)=O"
"mPP-0152" "NJ1-24" NA NA NA "O=C(OCC)C1=NOC(C2=CC(C3=CC(C(OCC)=O)=NO3)=CC=C2)=C1"
"mPP-0153" "NJ1-26" NA NA NA "OC(C1=NOC(C2=CC(C3=CC(C(O)=O)=NO3)=CC=C2)=C1)=O"
"AIM A085CA" "AIM A085CA" NA NA NA NA
"mPP-0188" "TL2-74" NA NA NA "O=C(C1=CC=CO1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0190" "TL2-58" NA NA NA "O=C(C1=CC=CC=C1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0191" "TL2-41" NA NA NA "O=C(C1=CC=CS1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0177" "AKI-A133" NA NA NA "CC(C)(OC)C1=CC2=C(C)C(NCCO)=C3C2=C(C=C(C3=O)C(F)(F)F)C=C1"
"mPP-0178" "AKI-A141" NA NA NA "CC(C)(O)C1=CC2=C(C)C(NCCO)=C3C2=C(C=C(C3=O)C(F)(F)F)C=C1"
"AKI-A81" "AKI-A81" NA NA NA NA
"mPP-0180" "AKI-B1" NA NA NA "CC(C)C1=CC2=C(C)C(NCC3=CC=C(CO)C=C3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"AKI-157" "AKI-157" NA NA NA NA
"AKI-179" "AKI-179" NA NA NA NA
"mPP-0183" "AKI-A63" NA NA NA "CC(C)C1=CC2=C3C(NCCOC3=O)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
